WaveLenght (nm)	Skylarr
356.35	0.579019692
356.36	0.578995334
356.37	0.578970861
356.38	0.578947052
356.39	0.578923122
356.4	0.578899225
356.41	0.578875198
356.42	0.57885133
356.43	0.578826764
356.44	0.57880305
356.45	0.578778962
356.46	0.578754908
356.47	0.578730942
356.48	0.578706404
356.49	0.578680419
356.5	0.578655131
356.51	0.578629833
356.52	0.578604303
356.53	0.578579855
356.54	0.578556316
356.55	0.578533702
356.56	0.578511796
356.57	0.578490962
356.58	0.578468126
356.59	0.578443874
356.6	0.578417726
356.61	0.578386606
356.62	0.578354514
356.63	0.578316944
356.64	0.57827925
356.65	0.578240378
356.66	0.578206246
356.67	0.578169088
356.68	0.578134348
356.69	0.578099787
356.7	0.578066289
356.71	0.578036234
356.72	0.578006699
356.73	0.57797739
356.74	0.577947685
356.75	0.577920915
356.76	0.577893881
356.77	0.57786895
356.78	0.577845331
356.79	0.577822867
356.8	0.577801541
356.81	0.577777734
356.82	0.577754127
356.83	0.577728891
356.84	0.577702643
356.85	0.577676133
356.86	0.577648006
356.87	0.5776203
356.88	0.577593109
356.89	0.577566612
356.9	0.577543428
356.91	0.57752087
356.92	0.577498324
356.93	0.577476968
356.94	0.577455448
356.95	0.577434846
356.96	0.577413785
356.97	0.577393718
356.98	0.577372343
356.99	0.577348619
357	0.5773255
357.01	0.577299615
357.02	0.577277455
357.03	0.577255734
357.04	0.577233752
357.05	0.577210847
357.06	0.577182183
357.07	0.577151452
357.08	0.577115336
357.09	0.577073328
357.1	0.577026531
357.11	0.576974424
357.12	0.576925757
357.13	0.576889254
357.14	0.576858449
357.15	0.576832662
357.16	0.57680967
357.17	0.576789862
357.18	0.576772302
357.19	0.576755725
357.2	0.576740582
357.21	0.576725248
357.22	0.576708596
357.23	0.576689239
357.24	0.576667349
357.25	0.576643204
357.26	0.576618252
357.27	0.576591175
357.28	0.576563574
357.29	0.576533878
357.3	0.57650231
357.31	0.576468809
357.32	0.57643702
357.33	0.576405533
357.34	0.576375028
357.35	0.576346807
357.36	0.576319474
357.37	0.576295249
357.38	0.576273311
357.39	0.57625327
357.4	0.576234829
357.41	0.576214822
357.42	0.576193322
357.43	0.576171951
357.44	0.576148542
357.45	0.576125616
357.46	0.57609875
357.47	0.576067233
357.48	0.576032625
357.49	0.575995573
357.5	0.575963277
357.51	0.575934915
357.52	0.575909932
357.53	0.575887898
357.54	0.575867599
357.55	0.575849665
357.56	0.575831472
357.57	0.575811855
357.58	0.57578922
357.59	0.575762765
357.6	0.575732001
357.61	0.57569831
357.62	0.575664182
357.63	0.575630916
357.64	0.575597653
357.65	0.575567247
357.66	0.575538703
357.67	0.575513438
357.68	0.575491013
357.69	0.575470219
357.7	0.575449957
357.71	0.57542943
357.72	0.575408635
357.73	0.575386166
357.74	0.575360934
357.75	0.575333833
357.76	0.575304057
357.77	0.575274527
357.78	0.575244242
357.79	0.575213424
357.8	0.575184961
357.81	0.575157102
357.82	0.575130971
357.83	0.575105087
357.84	0.575080816
357.85	0.575057886
357.86	0.575036232
357.87	0.575016815
357.88	0.574999182
357.89	0.574981017
357.9	0.574960178
357.91	0.574937967
357.92	0.574912481
357.93	0.57488416
357.94	0.574852652
357.95	0.574818326
357.96	0.57478265
357.97	0.574745767
357.98	0.57471074
357.99	0.574679277
358	0.574651806
358.01	0.574624937
358.02	0.574600739
358.03	0.574578811
358.04	0.574557718
358.05	0.574537497
358.06	0.574516705
358.07	0.574496795
358.08	0.574474583
358.09	0.574453141
358.1	0.574430833
358.11	0.574409571
358.12	0.57438926
358.13	0.574369618
358.14	0.574349349
358.15	0.574329683
358.16	0.57431031
358.17	0.574289158
358.18	0.574267416
358.19	0.57424158
358.2	0.574208192
358.21	0.574168048
358.22	0.574121851
358.23	0.574072828
358.24	0.574025825
358.25	0.573983476
358.26	0.573948896
358.27	0.573920906
358.28	0.573896567
358.29	0.573873476
358.3	0.573851593
358.31	0.573827363
358.32	0.573804414
358.33	0.573780745
358.34	0.573757613
358.35	0.573734216
358.36	0.573712072
358.37	0.573688586
358.38	0.573666905
358.39	0.573645209
358.4	0.57362425
358.41	0.573602209
358.42	0.573579778
358.43	0.573556654
358.44	0.57353336
358.45	0.573509257
358.46	0.57348517
358.47	0.573461721
358.48	0.573438049
358.49	0.573414095
358.5	0.573390995
358.51	0.573368741
358.52	0.573347755
