  Wl(nm)  HCRF  Rso  Rdo  Rsd  Rdd  ABSs  ABSd
       504       0.02337348       0.02091906       0.02854605       0.02463383       0.02943278       0.90158738       0.80371312
       505       0.02371646       0.02124273       0.02891753       0.02530646       0.03010951       0.90079989       0.80303937
       506       0.02408068       0.02160140       0.02931615       0.02604688       0.03084511       0.89990887       0.80224958
       507       0.02449208       0.02200787       0.02976084       0.02686387       0.03165268       0.89892496       0.80137378
       508       0.02494522       0.02245448       0.03024472       0.02774730       0.03252299       0.89785936       0.80042223
       509       0.02545906       0.02295843       0.03078752       0.02871803       0.03347796       0.89669778       0.79939181
       510       0.02601811       0.02351050       0.03137294       0.02976861       0.03450506       0.89542854       0.79825200
       511       0.02663165       0.02412019       0.03200972       0.03091199       0.03561613       0.89403622       0.79698880
       512       0.02730593       0.02479120       0.03270552       0.03215177       0.03681747       0.89252573       0.79561656
       513       0.02804788       0.02553038       0.03347010       0.03349175       0.03811489       0.89090337       0.79415124
       514       0.02884390       0.02632634       0.03428447       0.03491817       0.03948953       0.88916560       0.79257020
       515       0.02971444       0.02719757       0.03516992       0.03645499       0.04096635       0.88729372       0.79086617
       516       0.03064289       0.02812724       0.03611444       0.03807308       0.04252095       0.88533247       0.78909021
       517       0.03163345       0.02912032       0.03711414       0.03978198       0.04415589       0.88325085       0.78719463
       518       0.03268056       0.03017090       0.03817173       0.04156828       0.04586462       0.88108439       0.78523153
       519       0.03378125       0.03127777       0.03927722       0.04343109       0.04763979       0.87881494       0.78316522
       520       0.03493744       0.03243909       0.04043745       0.04536443       0.04948200       0.87646892       0.78103919
       521       0.03613881       0.03364746       0.04164075       0.04735638       0.05137670       0.87405140       0.77884873
       522       0.03738756       0.03490367       0.04288844       0.04941057       0.05332761       0.87155674       0.77658849
       523       0.03866588       0.03618983       0.04416635       0.05149091       0.05530318       0.86904129       0.77432026
       524       0.03996015       0.03749458       0.04545633       0.05358949       0.05729069       0.86649238       0.77201304
       525       0.04126339       0.03880807       0.04675214       0.05568419       0.05927184       0.86394918       0.76971269
       526       0.04257015       0.04012524       0.04805020       0.05777342       0.06124607       0.86141148       0.76741854
       527       0.04386946       0.04143693       0.04934110       0.05984030       0.06319724       0.85890141       0.76515107
       528       0.04514780       0.04272617       0.05060917       0.06186182       0.06510434       0.85644649       0.76293535
       529       0.04640670       0.04399685       0.05185765       0.06384207       0.06697095       0.85404287       0.76076789
       530       0.04764797       0.04525058       0.05308888       0.06578751       0.06880366       0.85168142       0.75864001
       531       0.04885228       0.04646642       0.05428271       0.06766616       0.07057275       0.84940206       0.75658831
       532       0.05001749       0.04764305       0.05543800       0.06947701       0.07227741       0.84720624       0.75461400
       533       0.05114935       0.04878592       0.05656012       0.07122942       0.07392654       0.84508236       0.75270633
       534       0.05223974       0.04988813       0.05764249       0.07291347       0.07551103       0.84304298       0.75087672
       535       0.05328731       0.05094579       0.05868144       0.07452390       0.07702608       0.84109477       0.74913124
       536       0.05428671       0.05195573       0.05967470       0.07605979       0.07847144       0.83923764       0.74746953
       537       0.05525319       0.05293189       0.06063439       0.07753677       0.07986084       0.83745484       0.74587656
       538       0.05618287       0.05387153       0.06155932       0.07895761       0.08119790       0.83574028       0.74434626
       539       0.05707389       0.05477219       0.06244646       0.08031574       0.08247608       0.83410357       0.74288765
       540       0.05790071       0.05560964       0.06327250       0.08157468       0.08366156       0.83259071       0.74154283
       541       0.05874990       0.05647252       0.06412290       0.08286986       0.08488036       0.83103154       0.74015580
       542       0.05954883       0.05727984       0.06491632       0.08408520       0.08602205       0.82955884       0.73883893
       543       0.06034322       0.05808026       0.06570630       0.08528085       0.08714761       0.82812326       0.73756565
       544       0.06111001       0.05885565       0.06647279       0.08643980       0.08823925       0.82673155       0.73633260
       545       0.06188459       0.05963788       0.06724578       0.08760710       0.08933835       0.82532848       0.73508937
       546       0.06262767       0.06038995       0.06799040       0.08873027       0.09039669       0.82397860       0.73389490
       547       0.06337631       0.06114367       0.06873655       0.08985412       0.09145541       0.82262696       0.73269906
       548       0.06408860       0.06186058       0.06944722       0.09092079       0.09246083       0.82134653       0.73156867
       549       0.06480066       0.06257725       0.07016243       0.09198506       0.09346730       0.82007847       0.73045867
       550       0.06541877       0.06320095       0.07078413       0.09291202       0.09434321       0.81897102       0.72948690
