Wl	avg med mob 10
375.28	0.02966173
375.52	0.029678084
375.76	0.029719446
376	0.029757571
376.24	0.029725289
376.48	0.0297212
376.72	0.029733289
376.96	0.029722414
377.2	0.029684447
377.44	0.029651737
377.68	0.029628264
377.92	0.029699259
378.16	0.029779845
378.4	0.029819298
378.64	0.029817061
378.88	0.029892194
379.12	0.029956579
379.36	0.029981868
379.6	0.030002971
379.84	0.030057197
380.08	0.03008623
380.32	0.030114928
380.56	0.030133167
380.8	0.030115144
381.04	0.030100213
381.28	0.030147776
381.52	0.030217184
381.76	0.030274618
382	0.030364498
382.24	0.030496187
382.48	0.030617667
382.72	0.030698648
382.96	0.030741695
383.2	0.030773199
383.44	0.030841359
383.68	0.030862335
383.92	0.030910317
384.16	0.030939375
384.4	0.031002764
384.64	0.031009238
384.88	0.030929715
385.12	0.030861774
385.36	0.030856051
385.6	0.030918272
385.84	0.030984543
386.08	0.031044701
386.32	0.031175652
386.56	0.031289463
386.8	0.031351569
387.04	0.031326434
387.28	0.031333068
387.52	0.0314331
387.76	0.031531827
388	0.031560499
388.24	0.031565747
388.48	0.031603965
388.72	0.031652807
388.96	0.031637672
389.2	0.031602975
389.44	0.031626792
389.68	0.031724723
389.92	0.03180908
390.16	0.031832277
390.4	0.0318579
390.64	0.031936667
390.88	0.031992623
391.12	0.032019118
391.36	0.032042151
391.6	0.032182951
391.84	0.032329815
392.08	0.032415495
392.32	0.032491507
392.56	0.032605279
392.8	0.032738409
393.04	0.032848806
393.28	0.032928116
393.52	0.033020434
393.76	0.033111356
394	0.033179814
394.24	0.03312852
394.48	0.033100723
394.72	0.033170122
394.96	0.033232765
395.2	0.033250744
395.44	0.033288426
395.68	0.033370504
395.92	0.033451632
396.16	0.033512512
396.4	0.033571504
396.64	0.033658828
396.88	0.033806733
397.12	0.033933479
397.36	0.03397634
397.6	0.034010807
397.84	0.034075778
398.08	0.034127028
398.32	0.034137806
398.56	0.034149398
398.8	0.034208576
399.04	0.034311954
399.28	0.034380934
399.52	0.034412971
399.76	0.034449758
400	0.034512475
400.24	0.034587301
400.48	0.034654982
400.72	0.034731173
400.96	0.034834125
401.2	0.034941438
401.44	0.035016061
401.68	0.035071974
401.92	0.035158703
402.16	0.035264732
402.4	0.035353206
402.64	0.035453329
402.88	0.035558003
403.12	0.035662873
403.36	0.035757372
403.6	0.035835432
403.84	0.035907839
404.08	0.035986598
404.32	0.036079502
404.56	0.036169991
404.8	0.036249211
405.04	0.036332168
405.28	0.036430575
405.52	0.036522662
405.76	0.036607244
406	0.036683074
406.24	0.036765006
406.48	0.036871212
406.72	0.036985439
406.96	0.037076455
407.2	0.037160052
407.44	0.037279243
407.68	0.037406662
407.92	0.037490206
408.16	0.037570339
408.4	0.03766949
408.64	0.037781664
408.88	0.037895673
409.12	0.037998412
409.36	0.038087853
409.6	0.038182104
409.84	0.038269693
410.08	0.038302063
410.32	0.038354346
410.56	0.038461545
410.8	0.038568503
411.04	0.038648596
411.28	0.038713808
411.52	0.038782897
411.76	0.038872271
412	0.038983457
412.24	0.039086054
412.48	0.039199863
412.72	0.039350615
412.96	0.039482377
413.2	0.039567326
413.44	0.039660502
413.68	0.039772644
413.92	0.039904988
414.16	0.040038928
414.4	0.040150119
414.64	0.040244274
414.88	0.040345882
415.12	0.040443633
415.36	0.040530322
415.6	0.040623462
415.84	0.040735533
416.08	0.040839797
416.32	0.040945872
416.56	0.041050125
416.8	0.041156157
417.04	0.041265341
417.28	0.041370055
417.52	0.041465874
417.76	0.041566398
418	0.041705551
418.24	0.041829257
418.48	0.041941921
418.72	0.04206911
418.96	0.042195487
419.2	0.042308717
419.44	0.042406872
419.68	0.042490555
419.92	0.042578928
420.16	0.042686213
420.4	0.042784142
420.64	0.042839403
420.88	0.042923653
421.12	0.043023417
421.36	0.043136238
421.6	0.043221531
421.84	0.043307237
422.08	0.043412441
422.32	0.04353543
422.56	0.043660467
422.8	0.043774722
423.04	0.043896098
423.28	0.044037796
423.52	0.044164656
423.76	0.044269328
424	0.044376539
424.24	0.044501991
424.48	0.044624614
424.72	0.044730997
424.96	0.044843374
425.2	0.044973614
425.44	0.045103881
425.68	0.045221013
425.92	0.045325732
426.16	0.045422363
426.4	0.045552211
426.64	0.045643081
426.88	0.045731206
427.12	0.045828096
427.36	0.045949573
427.6	0.046073203
427.84	0.046180357
428.08	0.046283873
428.32	0.046407166
428.56	0.046549409
428.8	0.04669462
429.04	0.046808116
429.28	0.046943617
429.52	0.047089842
429.76	0.047219355
430	0.047326567
430.24	0.04740882
430.48	0.047494596
430.72	0.047591316
430.96	0.047672968
431.2	0.0477304
431.44	0.04781212
431.68	0.047926888
431.92	0.048038813
432.16	0.048119667
432.4	0.048218291
432.64	0.048320887
432.88	0.048454143
433.12	0.048590168
433.36	0.048716965
433.6	0.048854654
433.84	0.049007084
434.08	0.049140232
434.32	0.049243995
434.56	0.049339691
434.8	0.049460284
435.04	0.049582388
435.28	0.049707569
435.52	0.049818655
435.76	0.049924546
436	0.050027946
436.24	0.050125186
436.48	0.05022252
436.72	0.050329913
436.96	0.050446363
437.2	0.050565769
437.44	0.050682426
437.68	0.050816402
437.92	0.050944095
438.16	0.051064846
438.4	0.051190203
438.64	0.05132151
438.88	0.051460313
439.12	0.051599026
439.36	0.051726472
439.6	0.051845459
439.84	0.051967338
440.08	0.052093586
440.32	0.052192663
440.56	0.052288805
440.8	0.052391279
441.04	0.052502663
441.28	0.052624755
441.52	0.052742629
441.76	0.052855757
442	0.052973189
442.24	0.05309545
442.48	0.053219002
442.72	0.053351428
442.96	0.053491365
443.2	0.053637518
443.44	0.05378211
443.68	0.053914391
443.92	0.054035201
444.16	0.054172508
444.4	0.054323062
444.64	0.054472778
444.88	0.054620303
445.12	0.054765591
445.36	0.054903166
445.6	0.055038603
445.84	0.055168078
446.08	0.055300027
446.32	0.055447016
446.56	0.055591708
446.8	0.055710028
447.04	0.055828836
447.28	0.055957242
447.52	0.056089733
447.76	0.056219092
448	0.056344324
448.24	0.056475181
448.48	0.056619115
448.72	0.056735297
448.96	0.056840273
449.2	0.056961823
449.44	0.057114465
449.68	0.057260487
449.92	0.057391185
450.16	0.057514585
450.4	0.057644229
450.64	0.057778931
450.88	0.05790822
451.12	0.05803945
451.36	0.058202099
451.6	0.05837629
451.84	0.058540914
452.08	0.058673812
452.32	0.058799208
452.56	0.058933296
452.8	0.059075945
453.04	0.059205506
453.28	0.059328581
453.52	0.059458562
453.76	0.059585869
454	0.059714704
454.24	0.059831685
454.48	0.059945061
454.72	0.060082949
454.96	0.060226444
455.2	0.060365229
455.44	0.060496575
455.68	0.060640686
455.92	0.060792541
456.16	0.060941331
456.4	0.06108373
456.64	0.061222217
456.88	0.061369807
457.12	0.061522455
457.36	0.061647038
457.6	0.061765032
457.84	0.061894643
458.08	0.062025318
458.32	0.062145461
458.56	0.062274329
458.8	0.062407826
459.04	0.062541463
459.28	0.062672797
459.52	0.062791069
459.76	0.062903973
460	0.063033543
460.24	0.063166385
460.48	0.0632874
460.72	0.063405344
460.96	0.063542283
461.2	0.063678669
461.44	0.063805179
461.68	0.063923006
461.92	0.064041279
462.16	0.064166932
462.4	0.064298619
462.64	0.06443922
462.88	0.06459029
463.12	0.064745321
463.36	0.064910292
463.6	0.065060214
463.84	0.06520185
464.08	0.065348607
464.32	0.065495374
464.56	0.065634704
464.8	0.065769691
465.04	0.065902955
465.28	0.06603214
465.52	0.066159771
465.76	0.066284425
466	0.066393674
466.24	0.066515996
466.48	0.066651703
466.72	0.066770342
466.96	0.066891424
467.2	0.067033003
467.44	0.067179322
467.68	0.067319996
467.92	0.067446465
468.16	0.067558411
468.4	0.067681861
468.64	0.06783074
468.88	0.067984587
469.12	0.068120725
469.36	0.068266896
469.6	0.068408684
469.84	0.068538019
470.08	0.068677887
470.32	0.068822318
470.56	0.068977426
470.8	0.069138588
471.04	0.06928599
471.28	0.069422166
471.52	0.069543672
471.76	0.069658574
472	0.06978262
472.24	0.069911154
472.48	0.07004671
472.72	0.070171918
472.96	0.070297323
473.2	0.070421883
473.44	0.070547429
473.68	0.070666986
473.92	0.070779752
474.16	0.070906475
474.4	0.07105081
474.64	0.071190987
474.88	0.071333444
475.12	0.071463887
475.36	0.071594016
475.6	0.071726598
475.84	0.071857783
476.08	0.07199185
476.32	0.072147908
476.56	0.072312293
476.8	0.07245497
477.04	0.072581602
477.28	0.072705825
477.52	0.072837787
477.76	0.072984233
478	0.073129971
478.24	0.073260749
478.48	0.07338857
478.72	0.073516093
478.96	0.073641515
479.2	0.073770569
479.44	0.073907596
479.68	0.074052268
479.92	0.074200142
480.16	0.074345165
480.4	0.074490481
480.64	0.074627264
480.88	0.074766791
481.12	0.07491638
481.36	0.075060414
481.6	0.075192632
481.84	0.075334055
482.08	0.075482642
482.32	0.07562743
482.56	0.075762942
482.8	0.075892277
483.04	0.076016923
483.28	0.076153143
483.52	0.0762971
483.76	0.076429929
484	0.076570498
484.24	0.07671956
484.48	0.076846189
484.72	0.076967705
484.96	0.077087012
485.2	0.07721702
485.44	0.077358837
485.68	0.077499919
485.92	0.077635679
486.16	0.077772846
486.4	0.077919701
486.64	0.07806919
486.88	0.078210311
487.12	0.078359381
487.36	0.07850282
487.6	0.078650337
487.84	0.078792104
488.08	0.078928133
488.32	0.079066213
488.56	0.079209753
488.8	0.079355799
489.04	0.079500886
489.28	0.07964302
489.52	0.079783378
489.76	0.079925665
490	0.080072796
490.24	0.080221248
490.48	0.080366424
490.72	0.080505253
490.96	0.080639545
491.2	0.080773684
491.44	0.080906583
491.68	0.081038215
491.92	0.081172131
492.16	0.081315828
492.4	0.081456382
492.64	0.081594554
492.88	0.081727945
493.12	0.081877047
493.36	0.082036819
493.6	0.082199379
493.84	0.082361498
494.08	0.082520035
494.32	0.082673168
494.56	0.08282358
494.8	0.082972401
495.04	0.083115883
495.28	0.08325752
495.52	0.083413397
495.76	0.083557752
496	0.083696218
496.24	0.083836006
496.48	0.083975484
496.72	0.084106389
496.96	0.084243151
497.2	0.084375654
497.44	0.084505245
497.68	0.084647414
497.92	0.084797768
498.16	0.084938433
498.4	0.085082127
498.64	0.085224937
498.88	0.085360974
499.12	0.085492838
499.36	0.085632255
499.6	0.08577286
499.84	0.085910921
500.08	0.08605329
500.32	0.086191884
500.56	0.086322431
500.8	0.086455564
501.04	0.08659407
501.28	0.08673519
501.52	0.086883288
501.76	0.0870318
502	0.087186174
502.24	0.087347179
502.48	0.08751014
502.72	0.087667303
502.96	0.087819078
503.2	0.087976076
503.44	0.088133911
503.68	0.08828648
503.92	0.0884413
504.16	0.088596478
504.4	0.088748946
504.64	0.088895869
504.88	0.089039955
505.12	0.08918353
