wl1; r1
595.00000;0.13669055
596.00000;0.13722837
597.00000;0.13776937
598.00000;0.13833517
599.00000;0.13888199
600.00000;0.13941342
601.00000;0.13990600
602.00000;0.14043976
603.00000;0.14094390
604.00000;0.14137430
605.00000;0.14183768
606.00000;0.14234764
607.00000;0.14285393
608.00000;0.14333760
609.00000;0.14376630
610.00000;0.14421909
611.00000;0.14464212
612.00000;0.14501588
613.00000;0.14557712
614.00000;0.14619010
615.00000;0.14654039
616.00000;0.14697468
617.00000;0.14740528
618.00000;0.14799161
619.00000;0.14848831
620.00000;0.14894940
621.00000;0.14942836
622.00000;0.14995936
623.00000;0.15047112
624.00000;0.15094894
625.00000;0.15143805
626.00000;0.15193437
627.00000;0.15246957
628.00000;0.15305465
629.00000;0.15375577
630.00000;0.15420441
631.00000;0.15466838
632.00000;0.15519733
633.00000;0.15574597
634.00000;0.15622362
635.00000;0.15662940
636.00000;0.15703024
637.00000;0.15746865
638.00000;0.15790561
639.00000;0.15830354
640.00000;0.15865506
641.00000;0.15898511
642.00000;0.15937198
643.00000;0.15973228
644.00000;0.16011431
645.00000;0.16048492
646.00000;0.16083914
647.00000;0.16122819
648.00000;0.16160241
649.00000;0.16193684
650.00000;0.16235826
651.00000;0.16280281
652.00000;0.16332126
653.00000;0.16378116
654.00000;0.16431000
655.00000;0.16478888
656.00000;0.16514473
657.00000;0.16557040
658.00000;0.16605155
659.00000;0.16657456
660.00000;0.16697809
661.00000;0.16735008
662.00000;0.16774263
663.00000;0.16814993
664.00000;0.16856967
665.00000;0.16901192
666.00000;0.16944025
667.00000;0.16985816
668.00000;0.17030159
669.00000;0.17076280
670.00000;0.17132968
671.00000;0.17189128
672.00000;0.17235809
673.00000;0.17281871
674.00000;0.17341973
675.00000;0.17403520
676.00000;0.17461851
677.00000;0.17514433
678.00000;0.17577304
679.00000;0.17646036
680.00000;0.17713863
681.00000;0.17785127
682.00000;0.17857376
683.00000;0.17921262
684.00000;0.17997138
685.00000;0.18082730
686.00000;0.18199881
687.00000;0.18313339
688.00000;0.18428688
689.00000;0.18552480
690.00000;0.18680725
691.00000;0.18816639
692.00000;0.18961658
693.00000;0.19111996
694.00000;0.19261314
695.00000;0.19411002
696.00000;0.19572015
697.00000;0.19722816
698.00000;0.19872820
699.00000;0.20022785
700.00000;0.20183282
701.00000;0.20350491
702.00000;0.20508087
703.00000;0.20661713
704.00000;0.20814280
705.00000;0.20981052
706.00000;0.21129337
707.00000;0.21278105
708.00000;0.21424464
709.00000;0.21571110
710.00000;0.21717569
711.00000;0.21857364
712.00000;0.21984711
713.00000;0.22099227
714.00000;0.22220194
715.00000;0.22316604
716.00000;0.22374034
717.00000;0.22401513
718.00000;0.22390175
719.00000;0.22336496
720.00000;0.22265330
721.00000;0.22202138
722.00000;0.22188684
723.00000;0.22247481
724.00000;0.22372860
725.00000;0.22517573
726.00000;0.22677576
727.00000;0.22872999
728.00000;0.23110857
729.00000;0.23343829
730.00000;0.23569086
731.00000;0.23787832
732.00000;0.24009719
733.00000;0.24203774
734.00000;0.24418691
735.00000;0.24621703
736.00000;0.24811597
737.00000;0.24981347
738.00000;0.25151000
739.00000;0.25319654
740.00000;0.25485938
741.00000;0.25642820
742.00000;0.25794929
743.00000;0.25939348
744.00000;0.26072335
745.00000;0.26207460
746.00000;0.26331918
747.00000;0.26468915
748.00000;0.26596582
749.00000;0.26713628
750.00000;0.26816033
751.00000;0.26934685
752.00000;0.27052297
753.00000;0.27166507
754.00000;0.27269259
755.00000;0.27370813
756.00000;0.27472552
757.00000;0.27566572
758.00000;0.27670702
759.00000;0.27839859
760.00000;0.28018552
761.00000;0.28099260
762.00000;0.28130781
763.00000;0.28192389
764.00000;0.28284860
765.00000;0.28374678
766.00000;0.28465909
767.00000;0.28552156
768.00000;0.28631651
769.00000;0.28736404
770.00000;0.28830668
771.00000;0.28930729
772.00000;0.29045540
773.00000;0.29139975
774.00000;0.29208902
775.00000;0.29285154
776.00000;0.29373275
777.00000;0.29469339
778.00000;0.29566476
779.00000;0.29641665
780.00000;0.29755295
781.00000;0.29828869
782.00000;0.29909943
783.00000;0.29990296
784.00000;0.30072683
785.00000;0.30149938
786.00000;0.30231257
787.00000;0.30326848
788.00000;0.30420248
789.00000;0.30514469
790.00000;0.30612221
791.00000;0.30710307
792.00000;0.30790998
793.00000;0.30868229
794.00000;0.30977755
795.00000;0.31076068
796.00000;0.31172591
797.00000;0.31241632
798.00000;0.31312904
799.00000;0.31381299
800.00000;0.31474974
