wl(nm),dif/tot veg smoothed
1025,0.135493516
1026,0.135301499
1027,0.135092675
1028,0.134901429
1029,0.134750145
1030,0.134557135
1031,0.134362714
1032,0.134168633
1033,0.133978764
1034,0.133787169
1035,0.133639466
1036,0.13356623
1037,0.133371844
1038,0.133176949
1039,0.132978433
1040,0.132783333
1041,0.132583242
1042,0.132395265
1043,0.132196895
1044,0.131991007
1045,0.131780554
1046,0.131568931
1047,0.131349741
1048,0.131142306
1049,0.130916664
1050,0.130676855
1051,0.130446349
1052,0.13021092
1053,0.129973664
1054,0.129724154
1055,0.129479461
1056,0.129216466
1057,0.128970021
1058,0.128663535
1059,0.128396806
1060,0.128160854
1061,0.127942247
1062,0.127723659
1063,0.127481494
1064,0.127209521
1065,0.127006657
1066,0.126779081
1067,0.126585936
1068,0.126401457
1069,0.126233159
1070,0.126057251
1071,0.125854129
1072,0.125551926
1073,0.125288738
1074,0.125122051
1075,0.124933709
1076,0.124777269
1077,0.123951001
1078,0.123639197
1079,0.123535032
1080,0.123298209
1081,0.123144082
1082,0.122953693
1083,0.122715202
1084,0.122396182
1085,0.122295495
1086,0.121545345
1087,0.120529801
1088,0.120317859
1089,0.119356728
1090,0.1187893
1091,0.117811797
1092,0.11660563
1093,0.115638832
1094,0.11442622
1095,0.113802706
1096,0.113246744
1097,0.112271903
1098,0.112709544
1099,0.11159663
1100,0.1111736
1101,0.110616972
1102,0.109722353
1103,0.109183751
1104,0.106725705
1105,0.105445274
1106,0.104289141
1107,0.103723567
1108,0.102738905
1109,0.101540614
1110,0.099509142
1111,0.097678118
1112,0.097288426
1113,0.096600861
1114,0.095772344
1115,0.095149001
1116,0.09414162
1117,0.092927549
1118,0.092539735
1119,0.090470044
1120,0.087743434
1121,0.086001805
1122,0.085178567
1123,0.084563969
1124,0.083071751
1125,0.083846516
1126,0.082709186
1127,0.077749382
1128,0.077609712
1129,0.078171411
1130,0.078330065
1131,0.07834796
1132,0.078563533
1133,0.078435843
1134,0.078802661
1135,0.078937441
1136,0.077255856
1137,0.076352966
1138,0.076161449
1139,0.076018896
1140,0.076515075
1141,0.078134938
1142,0.078823378
1143,0.077210746
1144,0.077362911
1145,0.077443857
1146,0.076684648
1147,0.077808831
1148,0.082941978
1149,0.082636257
1150,0.081274005
1151,0.081162357
1152,0.083008279
1153,0.083689856
1154,0.084308127
1155,0.084821764
1156,0.084936288
1157,0.086825274
1158,0.087986175
1159,0.088812152
1160,0.089404634
1161,0.090199168
1162,0.091328683
1163,0.09160077
1164,0.09365816
1165,0.092755538
1166,0.093715142
1167,0.095454881
1168,0.096145493
1169,0.096198537
1170,0.096983767
1171,0.098720249
1172,0.098839519
1173,0.098413497
1174,0.098772531
1175,0.098627803
1176,0.098012281
1177,0.098300934
1178,0.098564334
1179,0.098648206
1180,0.098750278
1181,0.098618347
1182,0.098102354
1183,0.098053932
1184,0.098350219
1185,0.098470228
1186,0.099349669
1187,0.099289743
1188,0.099007098
1189,0.098842338
1190,0.098324401
1191,0.09821737
1192,0.09775243
1193,0.097547416
1194,0.09773251
1195,0.097175696
1196,0.096504451
1197,0.096912966
1198,0.09658143
1199,0.096853883
1200,0.096923781
1201,0.096245842
1202,0.096093356
1203,0.096099904
1204,0.095968894
1205,0.09549783
1206,0.094973515
1207,0.095286238
1208,0.095105702
1209,0.094945144
1210,0.094443512
1211,0.094622559
1212,0.094458017
1213,0.094766827
1214,0.094853396
1215,0.094973712
1216,0.095241018
1217,0.095584783
1218,0.095017457
1219,0.09539472
1220,0.095175756
1221,0.095020316
1222,0.095515834
1223,0.095493431
1224,0.095668241
1225,0.095873276
1226,0.096037045
1227,0.096264002
1228,0.096055032
1229,0.096070031
1230,0.096064824
1231,0.096286413
1232,0.096283737
1233,0.09612495
1234,0.095976141
1235,0.095938622
1236,0.0957863
1237,0.095802957
1238,0.095746845
1239,0.096162521
1240,0.096105135
1241,0.096109875
1242,0.096057044
1243,0.09590368
1244,0.095712818
1245,0.095680614
1246,0.095490447
1247,0.095301625
1248,0.095088157
1249,0.094924449
1250,0.094653044
1251,0.094431648
1252,0.094186197
1253,0.09397724
1254,0.093572003
1255,0.093116352
1256,0.092832552
1257,0.092206256
1258,0.091923081
1259,0.091681006
1260,0.090919737
1261,0.090618248
1262,0.090292195
1263,0.090067063
1264,0.089758572
1265,0.089455423
1266,0.089254432
1267,0.088946188
1268,0.08873132
1269,0.088635558
1270,0.088554015
1271,0.088463846
1272,0.088291838
1273,0.088219587
1274,0.088202154
1275,0.088351018
1276,0.088531752
1277,0.088554895
1278,0.08892099
1279,0.088850822
1280,0.088763449
1281,0.089139071
1282,0.089168908
1283,0.08897731
1284,0.088869974
1285,0.088857408
1286,0.088752211
1287,0.088659974
1288,0.088451588
1289,0.088208293
1290,0.088114285
1291,0.087944367
1292,0.087381256
1293,0.087387314
1294,0.087241975
1295,0.086519983
1296,0.08622814
1297,0.086069034
1298,0.085672186
1299,0.084794051
1300,0.084503097
1301,0.083866896
1302,0.083417832
1303,0.083171778
1304,0.082380224
1305,0.082010709
1306,0.081356206
1307,0.081225534
1308,0.079736783
1309,0.079677391
1310,0.079272353
1311,0.078514866
1312,0.07783373
1313,0.07804316
1314,0.076831317
1315,0.075869602
1316,0.076110942
1317,0.075728641
1318,0.074192148
1319,0.073859158
1320,0.073650782
1321,0.072895534
1322,0.072422665
1323,0.071363582
1324,0.070461403
1325,0.069743916
1326,0.069077381
1327,0.067719475
1328,0.066336302
1329,0.066159343
1330,0.065699823
1331,0.065258516
1332,0.065189342
1333,0.064819054
1334,0.063757271
1335,0.06186005
1336,0.061797939
1337,0.060687782
1338,0.059905213
1339,0.062818015
1340,0.061431969
1341,0.060371116
1342,0.05950479
1343,0.058625066
1344,0.057934235
1345,0.057152727
1346,0.057085678
1347,0.056441896
1348,0.058466598
1349,0.058097892
1350,0.057888961
1351,0.056674069
1352,0.055960213
1353,0.054704115
1354,0.053783367
1355,0.053094645
1356,0.054279998
1357,0.053535172
1358,0.053231469
1359,0.043319157
1360,0.040288076
1361,0.040334567
1362,0.04081399
1363,0.039773107
1364,0.039950661
1365,0.039894682
1366,0.03991055
1367,0.0381866
1368,0.036002209
1369,0.034100399
1370,0.034239516
1371,0.03424296
1372,0.034665606
1373,0.034731396
1374,0.035321185
1375,0.035580541
1376,0.035740011
1377,0.034948796
1378,0.034723242
1379,0.034641881
1380,0.044634492
1381,0.044576759
1382,0.044265314
1383,0.043438619
1384,0.035875853
1385,0.036450449
1386,0.038705917
1387,0.039005408
1388,0.040511335
1389,0.042395048
1390,0.042131221
1391,0.042380783
1392,0.042333245
1393,0.044316932
1394,0.044246133
1395,0.043701067
1396,0.043606639
1397,0.043584074
1398,0.044365748
1399,0.044550459
1400,0.044632923
1401,0.042478459
1402,0.042271899
1403,0.04239982
1404,0.042955078
1405,0.051207652
1406,0.05012879
1407,0.048154876
1408,0.047493641
1409,0.047216835
1410,0.04750182
1411,0.047947448
1412,0.047400184
1413,0.047513072
1414,0.044976423
1415,0.04494625
1416,0.044874369
1417,0.044785253
1418,0.044653329
1419,0.044561755
1420,0.044743159
1421,0.044136448
1422,0.045625009
1423,0.045548237
1424,0.045207883
1425,0.044954966
1426,0.045272034
1427,0.045124575
1428,0.04506268
1429,0.044072559
1430,0.044645158
1431,0.044469823
1432,0.04417261
1433,0.044575254
1434,0.04309117
1435,0.04314985
1436,0.043113615
1437,0.042481176
1438,0.042045441
1439,0.042594609
1440,0.042919324
1441,0.042240857
1442,0.042692353
1443,0.042639896
1444,0.042203388
1445,0.043202446
1446,0.043357774
1447,0.043571574
1448,0.044272755
1449,0.044793463
1450,0.046296352
1451,0.046248325
1452,0.046534984
1453,0.046896091
1454,0.046766162
1455,0.048347915
1456,0.048582992
1457,0.048427858
1458,0.04889376
1459,0.049445579
1460,0.049301135
1461,0.049226724
1462,0.049323564
1463,0.049340358
1464,0.049690414
1465,0.050436195
1466,0.050546055
1467,0.050208127
1468,0.049038804
1469,0.048571361
1470,0.048301764
1471,0.048355819
1472,0.048569673
1473,0.048168539
1474,0.048031269
1475,0.048283669
1476,0.048570099
1477,0.048737598
1478,0.048929758
1479,0.049221759
1480,0.049365069
1481,0.049454976
1482,0.0497451
1483,0.050069466
1484,0.05021363
1485,0.050105896
1486,0.049904696
1487,0.04978144
1488,0.050781053
1489,0.051957924
1490,0.052835335
1491,0.053436102
1492,0.053799299
1493,0.053753715
1494,0.05411095
1495,0.054020094
1496,0.054027388
1497,0.054243147
1498,0.054639522
1499,0.055246614
1500,0.055519137
1501,0.055868528
1502,0.055974569
1503,0.056302952
1504,0.056694873
1505,0.056933171
1506,0.057252172
1507,0.058038332
1508,0.058260245
1509,0.05840117
